model_name_list,detail_link,detail_url,rent_yn,list_price_wan,model_name,price_wan,rent_yn_detail,support_money_wan,monthly_rent_wan,remain_months,year_month,mileage_km,fuel_type,transmission,color,displacement_cc,reg_date
기아 더 뉴 레이 1.0 럭셔리,/mycar/mycar_view.php?no=2253720&gubun=K,https://bobaedream.co.kr/mycar/mycar_view.php?no=2253720&gubun=K,False,890.0,기아 더 뉴 레이  1.0 럭셔리,890.0,False,,,,2018.11,103719.0,가솔린,자동,흰색,998.0,
기아 레이 1.0 프레스티지,/mycar/mycar_view.php?no=2252795&gubun=K,https://bobaedream.co.kr/mycar/mycar_view.php?no=2252795&gubun=K,False,690.0,기아 레이  1.0 프레스티지,690.0,False,,,,2012.04,102701.0,가솔린,자동,흰색,998.0,
기아 레이 1.0  럭셔리,/mycar/mycar_view.php?no=2255752&gubun=K,https://bobaedream.co.kr/mycar/mycar_view.php?no=2255752&gubun=K,False,440.0,기아 레이 1.0  럭셔리,440.0,False,,,,2014.04,149229.0,가솔린,자동,연두색,998.0,
기아 레이 1.0 밴 고급형,/mycar/mycar_view.php?no=2254863&gubun=K,https://bobaedream.co.kr/mycar/mycar_view.php?no=2254863&gubun=K,False,480.0,기아 레이  1.0 밴 고급형,480.0,False,,,,2016.01,150000.0,가솔린,자동,흰색,998.0,
기아 레이 1.0 밴 기본형,/mycar/mycar_view.php?no=2254358&gubun=K,https://bobaedream.co.kr/mycar/mycar_view.php?no=2254358&gubun=K,False,599.0,기아 레이  1.0 밴 기본형,599.0,False,,,,2015.08 (16년형),120169.0,가솔린,자동,베이지색,998.0,
기아 뉴 그랜버드 캠핑카,/mycar/mycar_view.php?no=2257357&gubun=K,https://bobaedream.co.kr/mycar/mycar_view.php?no=2257357&gubun=K,False,9800.0,기아 뉴 그랜버드  캠핑카 -,9800.0,False,,,,2011.03,567379.0,디젤,수동,기타색상 (화이트펄),12742.0,
기아 그랜버드 슈퍼프리미엄 선샤인,/mycar/mycar_view.php?no=2248065&gubun=K,https://bobaedream.co.kr/mycar/mycar_view.php?no=2248065&gubun=K,False,1950.0,기아 그랜버드 슈퍼프리미엄 선샤인,1950.0,False,,,,2012.07,670892.0,디젤,수동,파란색,12742.0,
기아 로체 이노베이션 2.0 LPi LX 최고급형,/mycar/mycar_view.php?no=2256110&gubun=K,https://bobaedream.co.kr/mycar/mycar_view.php?no=2256110&gubun=K,False,170.0,기아 로체 이노베이션 2.0 LPi LX 최고급형,170.0,False,,,,2008.08 (09년형),280000.0,LPG,자동,은색,1998.0,
기아 모닝 어반 1.0  프레스티지,/mycar/mycar_view.php?no=2257292&gubun=K,https://bobaedream.co.kr/mycar/mycar_view.php?no=2257292&gubun=K,True,0.0,기아 모닝 어반 1.0  프레스티지,0.0,True,,41.0,60 / 60,2026.01,30.0,가솔린,자동,흰색,998.0,
기아 모닝 어반 1.0 프레스티지,/mycar/mycar_view.php?no=2246082&gubun=K,https://bobaedream.co.kr/mycar/mycar_view.php?no=2246082&gubun=K,True,100.0,기아 모닝 어반 1.0 프레스티지,100.0,True,,45.0,61 / 61,2025.03,20.0,가솔린,자동,흰색,998.0,
기아 올 뉴 모닝 1.0 럭셔리,/mycar/mycar_view.php?no=2255544&gubun=K,https://bobaedream.co.kr/mycar/mycar_view.php?no=2255544&gubun=K,False,969.0,기아 올 뉴 모닝   1.0 럭셔리,969.0,False,,,,2019.01,47050.0,가솔린,자동,진주색,998.0,
기아 올 뉴 모닝 1.0 밴  고급형,/mycar/mycar_view.php?no=2257349&gubun=K,https://bobaedream.co.kr/mycar/mycar_view.php?no=2257349&gubun=K,False,550.0,기아 올 뉴 모닝 1.0 밴  고급형,550.0,False,,,,2018.12,143000.0,가솔린,자동,흰색,998.0,
기아 올 뉴 모닝 1.0 디럭스,/mycar/mycar_view.php?no=2256276&gubun=K,https://bobaedream.co.kr/mycar/mycar_view.php?no=2256276&gubun=K,False,750.0,기아 올 뉴 모닝 1.0 디럭스,750.0,False,,,,2017.07,38627.0,가솔린,자동,흰색,998.0,
기아 올 뉴 모닝 1.0 디럭스,/mycar/mycar_view.php?no=2249698&gubun=K,https://bobaedream.co.kr/mycar/mycar_view.php?no=2249698&gubun=K,False,680.0,기아 올 뉴 모닝 1.0 디럭스,680.0,False,,,,2017.05,68444.0,가솔린,수동,검정색,998.0,
기아 올 뉴 모닝 1.0 럭셔리,/mycar/mycar_view.php?no=2246956&gubun=K,https://bobaedream.co.kr/mycar/mycar_view.php?no=2246956&gubun=K,False,550.0,기아 올 뉴 모닝  1.0 럭셔리,550.0,False,,,,2014.11 (15년형),93674.0,가솔린,자동,베이지색,998.0,
