용도코드,용도명,차종코드,차종명,규모코드,규모명,연도코드,연도,연식구간코드,연식구간명,지표코드,지표명,값
0001,전체,0002,승용차,0004,대형,Y2024 2024,,0020,4년 이하,M0010,검사대수,850705.0
0001,전체,0002,승용차,0004,대형,Y2024 2024,,0020,4년 이하,M0011,부적합률,6.16
0001,전체,0002,승용차,0004,대형,Y2024 2024,,0030,5~6년,M0010,검사대수,230821.0
0001,전체,0002,승용차,0004,대형,Y2024 2024,,0030,5~6년,M0011,부적합률,8.15
0001,전체,0002,승용차,0004,대형,Y2024 2024,,0040,7~8년,M0010,검사대수,445721.0
0001,전체,0002,승용차,0004,대형,Y2024 2024,,0040,7~8년,M0011,부적합률,11.53
0001,전체,0002,승용차,0004,대형,Y2024 2024,,0050,9~10년,M0010,검사대수,367017.0
0001,전체,0002,승용차,0004,대형,Y2024 2024,,0050,9~10년,M0011,부적합률,16.74
0001,전체,0002,승용차,0004,대형,Y2024 2024,,0060,11~12년,M0010,검사대수,272273.0
0001,전체,0002,승용차,0004,대형,Y2024 2024,,0060,11~12년,M0011,부적합률,21.97
0001,전체,0002,승용차,0004,대형,Y2024 2024,,0070,13~14년,M0010,검사대수,219778.0
0001,전체,0002,승용차,0004,대형,Y2024 2024,,0070,13~14년,M0011,부적합률,26.53
0001,전체,0002,승용차,0004,대형,Y2024 2024,,0080,15년 이상,M0010,검사대수,416440.0
0001,전체,0002,승용차,0004,대형,Y2024 2024,,0080,15년 이상,M0011,부적합률,30.07
0001,전체,0002,승용차,0004,대형,Y2024 2024,,0090,기타,M0010,검사대수,0.0
0001,전체,0002,승용차,0004,대형,Y2024 2024,,0090,기타,M0011,부적합률,0.0
0001,전체,0003,승합차,0001,합계,Y2024 2024,,0010,합계,M0010,검사대수,868063.0
0001,전체,0003,승합차,0001,합계,Y2024 2024,,0010,합계,M0011,부적합률,19.78
0001,전체,0003,승합차,0001,합계,Y2024 2024,,0020,4년 이하,M0010,검사대수,112947.0
0001,전체,0003,승합차,0001,합계,Y2024 2024,,0020,4년 이하,M0011,부적합률,9.76
0001,전체,0003,승합차,0001,합계,Y2024 2024,,0030,5~6년,M0010,검사대수,37887.0
0001,전체,0003,승합차,0001,합계,Y2024 2024,,0030,5~6년,M0011,부적합률,17.35
0001,전체,0003,승합차,0001,합계,Y2024 2024,,0040,7~8년,M0010,검사대수,77325.0
0001,전체,0003,승합차,0001,합계,Y2024 2024,,0040,7~8년,M0011,부적합률,20.35
0001,전체,0003,승합차,0001,합계,Y2024 2024,,0050,9~10년,M0010,검사대수,150443.0
0001,전체,0003,승합차,0001,합계,Y2024 2024,,0050,9~10년,M0011,부적합률,20.06
0001,전체,0003,승합차,0001,합계,Y2024 2024,,0060,11~12년,M0010,검사대수,178067.0
0001,전체,0003,승합차,0001,합계,Y2024 2024,,0060,11~12년,M0011,부적합률,20.06
0001,전체,0003,승합차,0001,합계,Y2024 2024,,0070,13~14년,M0010,검사대수,143623.0
0001,전체,0003,승합차,0001,합계,Y2024 2024,,0070,13~14년,M0011,부적합률,22.88
