brand,model,year,price_krw,mileage_km,fuel_type,transmission,body_type,displacement_cc,link
현대,기아 K7 프리미어 3.0 시그니처,2020,20400000.0,61047,가솔린,자동,,2999266,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2245921&gubun=K
현대,기아 쏘렌토 4세대 2.2 디젤 2WD 시그니처,2023,33900000.0,31394,디젤,자동,,2151202,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2253137&gubun=K
현대,기아 K8 2.5  시그니처 스페셜,2023,29700000.0,65669,가솔린,자동,,2497,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2255665&gubun=K
현대,기아 쏘렌토 4세대 2.2 디젤 2WD 시그니처,2023,34900000.0,64779,디젤,자동,,2151202,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2255764&gubun=K
현대,기아 봉고3 CRDi 1.2톤 킹캡 초장축 GLX,2016,10500000.0,87026,디젤,수동,,2497133,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2255772&gubun=K
현대,기아 더 뉴 봉고3  윙바디 1톤 전동모터식,2022,19900000.0,95717,디젤,자동,,2497,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2257214&gubun=K
현대,기아 그랜버드 슈퍼프리미엄 선샤인,2012,19500000.0,670892,디젤,수동,,12742,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2248065&gubun=K
현대,기아 코스모스 35인승,2000,7500000.0,258107,디젤,수동,,7412,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2252060&gubun=K
현대,기아 봉고3 15인승,2004,9700000.0,225571,디젤,수동,,2902,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2255279&gubun=K
현대,기아 더 뉴 카니발 4세대 1.6 터보 HEV 7인승 하이리무진 시그니처,2025,3500000.0,1200,가솔린 하이브리드,자동,,1598245,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2248233&gubun=K
현대,기아 더 뉴 카니발 4세대 3.5 가솔린 9인승 그래비티,2025,1500000.0,1000,가솔린,자동,,3470294,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2247736&gubun=K
현대,기아 더 뉴 카니발 4세대 1.6 터보 HEV 9인승 하이리무진 시그니처,2025,5500000.0,1700,가솔린 하이브리드,자동,,1598245,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2247734&gubun=K
현대,기아 더 뉴 카니발 4세대 1.6 터보 HEV 9인승 하이리무진 시그니처,2025,4500000.0,1600,가솔린 하이브리드,자동,,1598245,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2247729&gubun=K
현대,기아 더 뉴 K8 하이브리드 1.6 터보 HEV 노블레스,2025,1500000.0,1200,가솔린 하이브리드,자동,,1598,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2249530&gubun=K
현대,기아 더 뉴 K5 하이브리드 3세대 2.0 HEV 프레스티지,2025,1350000.0,500,가솔린 하이브리드,자동,,1999191,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2249700&gubun=K
현대,기아 더 뉴 카니발 4세대 1.6 터보 HEV 9인승 시그니처,2025,1700000.0,850,가솔린 하이브리드,자동,,1598245,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2249878&gubun=K
현대,기아 더 뉴 카니발 4세대 1.6 터보 HEV 9인승 그래비티,2025,1600000.0,970,가솔린 하이브리드,자동,,1598245,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2251393&gubun=K
현대,기아 더 뉴 카니발 4세대 1.6 터보 HEV 9인승 그래비티,2025,1500000.0,1000,가솔린 하이브리드,자동,,1598245,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2251394&gubun=K
현대,기아 더 뉴 카니발 4세대 1.6 터보 HEV 9인승 하이리무진 시그니처,2025,1800000.0,1400,가솔린 하이브리드,자동,,1598245,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2251395&gubun=K
현대,기아 더 뉴 카니발 4세대 1.6 터보 HEV 9인승 노블레스,2025,1700000.0,1300,가솔린 하이브리드,자동,,1598245,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2251982&gubun=K
현대,기아 더 뉴 카니발 4세대 1.6 터보 HEV 9인승 그래비티,2025,1500000.0,1400,가솔린 하이브리드,자동,,1598245,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2251983&gubun=K
현대,기아 더 뉴 카니발 4세대 1.6 터보 HEV 9인승 그래비티,2025,2100000.0,1470,가솔린 하이브리드,자동,,1598245,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2253413&gubun=K
