model_name,model_code,model_volume,maker_code,origin
크로스블레이드,988,0,1015,I
C/K,451,0,29,I
HHR,448,0,29,I
S10 픽업,449,0,29,I
SSR,445,0,29,I
볼트,1044,0,29,I
블레이저,446,0,29,I
서버밴,439,5,29,I
스텝밴,1081,0,29,I
실버라도 픽업,443,1,29,I
아발란치,442,0,29,I
아스트로밴,441,0,29,I
익스프레스밴,910,16,29,I
임팔라,890,0,29,I
체비밴,438,1,29,I
카마로,436,1,29,I
콜로라도,444,0,29,I
콜벳,437,3,29,I
캠핑카,447,1,29,I
타호,440,1,29,I
트럭밴,791,0,29,I
트랙커,1075,1,29,I
픽업,450,0,29,I
기타,435,0,29,I
레가시,430,0,27,I
아웃백,432,1,27,I
임프레자,428,0,27,I
임프레자 WRX,429,0,27,I
포레스터,431,0,27,I
아르시오네 SVX,1222,0,27,I
트리베카,1223,0,27,I
R1,433,0,27,I
R2,1224,0,27,I
그랜드 비타라,761,0,28,I
사이드킥,755,0,28,I
솔리오,758,0,28,I
스위프트,536,0,28,I
스페시아,950,0,28,I
왜건 R,757,0,28,I
이그니스,1010,1,28,I
알토,895,0,28,I
알토라팡,538,1,28,I
짐니,760,6,28,I
카푸치노,756,0,28,I
케이,537,0,28,I
트윈,1059,0,28,I
허슬러,822,0,28,I
시보레 크루즈,539,0,28,I
R470,288,0,103,I
히노,289,0,103,I
R450,1181,0,103,I
R480,1182,0,103,I
R490,1183,0,103,I
R500,1184,0,103,I
R560,1185,0,103,I
R580,1186,0,103,I
R620,1187,0,103,I
G400,1188,0,103,I
G410,1193,0,103,I
G420,1189,0,103,I
G440,1190,0,103,I
G450,1191,0,103,I
G500,1192,0,103,I
P280,1194,0,103,I
P360,1195,0,103,I
P400,1196,0,103,I
500S,1197,0,103,I
540S,1198,0,103,I
S650,1199,0,103,I
C8,434,0,93,I
C,453,1,30,I
DS,905,0,30,I
잔티아,454,0,30,I
4C,832,0,33,I
147,604,0,33,I
156,605,0,33,I
156GTA,606,0,33,I
159,609,0,33,I
164,607,0,33,I
166,608,0,33,I
GT,610,0,33,I
GTV,611,0,33,I
미토,613,0,33,I
브레라,541,0,33,I
스파이더,612,0,33,I
줄리아,977,0,33,I
줄리에타,833,1,33,I
A110,1242,1,1020,I
DB7,1219,0,62,I
DB9,1220,0,62,I
DB11,272,6,62,I
DB12,1317,2,62,I
DBS,275,2,62,I
DBX,1034,2,62,I
라피드,276,2,62,I
밴티지,273,11,62,I
뱅퀴시,274,2,62,I
CL,595,0,95,I
RL,596,0,95,I
TL,597,0,95,I
TSX,598,0,95,I
ZDX,599,0,95,I
MDX,600,0,95,I
RDX,601,0,95,I
RSX,602,0,95,I
인테그라,603,0,95,I
스피드스터,475,0,34,I
벡트라,653,0,34,I
비타,654,0,34,I
아스트라,655,0,34,I
오메가,656,0,34,I
카데트,657,0,34,I
코르사,659,0,34,I
티그라,660,0,34,I
FX,898,0,1011,I
미니,897,0,1011,I
기타,899,0,1011,I
88LSS,647,0,35,I
실루엣,648,0,35,I
델타 88,650,0,35,I
슈퍼세븐,455,0,83,I
그레나디어,1315,1,1024,I
데일리,957,2,1013,I
스트라리스,1201,0,1013,I
트래커,1203,0,1013,I
S웨이,1200,0,1013,I
X웨이,1202,0,1013,I
T웨이,1204,0,1013,I
유로카고,1205,0,1013,I
뮤,459,0,36,I
로데오,460,0,36,I
비크로스,461,0,36,I
엘프,948,0,36,I
디맥스,1206,0,36,I
포워드,1207,0,36,I
기타,462,0,36,I
G,242,0,81,I
I,916,0,81,I
M,243,0,81,I
Q,244,0,81,I
EX,245,0,81,I
FX,246,1,81,I
JX,764,0,81,I
QX,247,2,81,I
기타,765,0,81,I
E페이스,941,0,37,I
F페이스,896,0,37,I
I페이스,951,0,37,I
E타입,1258,3,37,I
F타입,798,2,37,I
S타입,484,0,37,I
X타입,483,0,37,I
XE,868,1,37,I
XF,485,3,37,I
XJ,487,4,37,I
XJ6,488,4,37,I
XJ8,489,2,37,I
XJ12,1050,0,37,I
XJR,828,0,37,I
XK,490,2,37,I
XJS,491,0,37,I
다임러,492,0,37,I
소버린,493,0,37,I
기타,494,2,37,I
글래디에이터,980,2,96,I
레니게이드,875,1,96,I
랭글러,337,18,96,I
리버티,339,0,96,I
어벤저,1297,0,96,I
체로키,1225,3,96,I
그랜드 체로키,336,2,96,I
커맨더,338,0,96,I
컴패스,335,0,96,I
패트리어트,340,0,96,I
ATS,793,0,38,I
BLS,263,0,38,I
CT4,1057,0,38,I
CT5,1058,1,38,I
CT6,900,1,38,I
CTS,264,1,38,I
DTS,265,2,38,I
STS,266,0,38,I
SRX,267,0,38,I
XLR,268,0,38,I
XT4,1072,0,38,I
XT5,912,0,38,I
XT6,1047,0,38,I
XTS,971,0,38,I
리릭,1292,0,38,I
에스컬레이드,269,18,38,I
에스컬레이드 IQ,1330,0,38,I
드빌,270,1,38,I
스빌,1160,0,38,I
엘도라도,854,0,38,I
플리트우드,853,0,38,I
컨코어,271,1,38,I
CCX,285,0,89,I
CCR,286,0,89,I
CCXR,287,0,89,I
200,763,1,39,I
300C,466,2,39,I
300M,467,0,39,I
LHS,470,0,39,I
PT크루저,464,0,39,I
보이저,471,0,39,I
비전,473,0,39,I
세브링,465,0,39,I
스트라투스,474,0,39,I
캐러밴,472,0,39,I
크로스파이어,469,0,39,I
퍼시피카,468,0,39,I
프라울러,805,2,39,I
네온,463,0,39,I
뉴요커,1209,0,39,I
콩코드,1210,0,39,I
타운&컨트리,1211,0,39,I
모델 3,1006,6,1006,I
모델 S,839,2,1006,I
모델 X,972,4,1006,I
모델 Y,1073,2,1006,I
사이버트럭,1301,1,1006,I
86,571,0,9,I
프리우스,573,0,9,I
캠리,574,2,9,I
라브4,576,1,9,I
시에나,577,2,9,I
타코마,578,2,9,I
툰드라,579,3,9,I
FJ크루져,575,1,9,I
bB,710,0,9,I
C-HR,947,0,9,I
IQ,711,0,9,I
MR,712,0,9,I
4러너,713,0,9,I
노아,714,0,9,I
루미,1333,0,9,I
랜드크루저,715,2,9,I
베르소,1083,0,9,I
매트릭스,716,0,9,I
벤자,767,0,9,I
벨파이어,940,0,9,I
복시,717,0,9,I
사이언,718,0,9,I
세라,719,0,9,I
세콰이어,845,0,9,I
센츄리,720,0,9,I
셀리카,721,1,9,I
셀시오,846,0,9,I
소아라,722,0,9,I
솔라라,723,0,9,I
수프라,724,1,9,I
스프린터,725,0,9,I
